created_at,updated_at,is_active,barcode,product_name,brand,category,subcategory,weight_pack_size,unit,cost_price,selling_price,mrp,current_stock,reorder_level,supplier_name,description,ingredients_list,usage_instructions,manufacturer_name,manufacturer_address,fssai_license,country_of_origin,shelf_life_days,storage_instructions,food_type,energy_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,image_urls,image_front,image_back,image_nutrition,category_id
2026-02-18T14:08:34.043443+00:00,2026-02-18T14:08:34.043443+00:00,True,1245410.0,Fennel Seeds,Fennel,Mouth Freshener,,100g,PIECES,,90.0,90.0,0,5,,"Fennel Fennel Seeds — Mouth Freshener. Available at Laxmi Supermarket, Mumbai.",,Use as directed on product packaging.,Fennel India Pvt Ltd,,,India,365,"Store in a cool, dry place away from direct sunlight and moisture.",Veg,,,,,,,,,,22
2026-02-18T14:08:45.135470+00:00,2026-02-18T14:08:45.135470+00:00,True,8904037610664.0,Blue Bird Pasta Fusilli,Blue,Pasta,Pasta & Grains,500g,PIECES,,135.0,135.0,0,5,,"Blue Blue Bird Pasta Fusilli — Pasta. Available at Laxmi Supermarket, Mumbai.",,"Boil salted water, cook pasta 8–10 minutes until al dente, drain and serve with sauce.",Blue India Pvt Ltd,,,India,730,"Store in a cool, dry place away from direct sunlight and moisture.",Veg,,,,,,,,,,21
2026-02-18T14:08:56.012994+00:00,2026-02-18T14:08:56.012994+00:00,True,8801073114548.0,Samyang Hot Chicken Flavour Ramen 3x Spicy Noodle,Samyang,Instant Noodles,Instant Noodles,140g,PIECES,,150.0,150.0,0,5,,"Samyang Samyang Hot Chicken Flavour Ramen 3x Spicy Noodle — Instant Noodles. Available at Laxmi Supermarket, Mumbai.",,"Boil water, add noodles, cook 3–5 minutes. Add seasoning packet, stir and serve hot.",Samyang Foods Co. Ltd,,,South Korea,365,"Store in a cool, dry place away from direct sunlight and moisture.",Non-Veg,,,,,,,,,,3
2026-02-18T14:09:07.092822+00:00,2026-02-18T14:09:07.092822+00:00,True,8801073115088.0,Samyang Buldak Quattro Cheese,Samyang,Instant Noodles,Instant Noodles,145g,PIECES,,150.0,150.0,0,5,,"Samyang Samyang Buldak Quattro Cheese — Instant Noodles. Available at Laxmi Supermarket, Mumbai.",,"Boil water, add noodles, cook 3–5 minutes. Add seasoning packet, stir and serve hot.",Samyang Foods Co. Ltd,,,South Korea,365,"Store in a cool, dry place away from direct sunlight and moisture.",Veg,,,,,,,,,,3
2026-02-18T14:09:13.750331+00:00,2026-02-18T14:09:13.750331+00:00,True,8801043054768.0,Nongshim Shin Ramyun Kimchi Instant Noodles,Nongshim,Instant Noodles,Instant Noodles,120g,PIECES,,139.0,139.0,0,5,,"Nongshim Nongshim Shin Ramyun Kimchi Instant Noodles — Instant Noodles. Available at Laxmi Supermarket, Mumbai.",,"Boil water, add noodles, cook 3–5 minutes. Add seasoning packet, stir and serve hot.",Nongshim Co. Ltd,,,South Korea,365,"Store in a cool, dry place away from direct sunlight and moisture.",Veg,,,,,,,,,,3
2026-02-18T14:09:21.674383+00:00,2026-02-18T14:09:21.674383+00:00,True,8801073114012.0,Buldak Hot Chicken 2x Spicy Ramen,Buldak,Instant Noodles,Instant Noodles,,PIECES,,150.0,150.0,0,5,,"Buldak Buldak Hot Chicken 2x Spicy Ramen — Instant Noodles. Available at Laxmi Supermarket, Mumbai.",,"Boil water, add noodles, cook 3–5 minutes. Add seasoning packet, stir and serve hot.",Buldak India Pvt Ltd,,,India,365,"Store in a cool, dry place away from direct sunlight and moisture.",Non-Veg,,,,,,,,,,3
2026-02-18T14:09:33.923211+00:00,2026-02-18T14:09:33.923211+00:00,True,8801073113893.0,Samyang Buldak Carbonara Hot Chicken Flavor Ramen,Samyang,Instant Noodles,Instant Noodles,,PIECES,,150.0,150.0,0,5,,"Samyang Samyang Buldak Carbonara Hot Chicken Flavor Ramen — Instant Noodles. Available at Laxmi Supermarket, Mumbai.",,"Boil water, add noodles, cook 3–5 minutes. Add seasoning packet, stir and serve hot.",Samyang Foods Co. Ltd,,,South Korea,365,"Store in a cool, dry place away from direct sunlight and moisture.",Non-Veg,,,,,,,,,,3
2026-02-18T14:09:44.039215+00:00,2026-02-18T14:09:44.039215+00:00,True,8801073113312.0,Samyang Buldak Cheese Hot Chicken Ramen,Samyang,Instant Noodles,Instant Noodles,140g,PIECES,,150.0,150.0,0,5,,"Samyang Samyang Buldak Cheese Hot Chicken Ramen — Instant Noodles. Available at Laxmi Supermarket, Mumbai.",,"Boil water, add noodles, cook 3–5 minutes. Add seasoning packet, stir and serve hot.",Samyang Foods Co. Ltd,,,South Korea,365,"Store in a cool, dry place away from direct sunlight and moisture.",Non-Veg,,,,,,,,,,3
2026-02-18T14:09:52.737175+00:00,2026-02-18T14:09:52.737175+00:00,True,8801043053167.0,Nongshim Shin Red Super Spicy Instant Noodles,Nongshim,Instant Noodles,Instant Noodles,,PIECES,,139.0,139.0,0,5,,"Nongshim Nongshim Shin Red Super Spicy Instant Noodles — Instant Noodles. Available at Laxmi Supermarket, Mumbai.",,"Boil water, add noodles, cook 3–5 minutes. Add seasoning packet, stir and serve hot.",Nongshim Co. Ltd,,,South Korea,365,"Store in a cool, dry place away from direct sunlight and moisture.",Veg,,,,,,,,,,3
2026-02-18T14:10:00.940670+00:00,2026-02-18T14:10:00.940670+00:00,True,8901786870455.0,Everest Eazy Chef Vegetable Kadai Mix,Everest,Spices & Masalas,Spices & Masalas,45g,PIECES,,45.0,45.0,0,5,,"Everest Everest Eazy Chef Vegetable Kadai Mix — Spices & Masalas. Available at Laxmi Supermarket, Mumbai.",,"Add required quantity during cooking. Suitable for curries, gravies, and marinades.",Everest Food Products Pvt Ltd,,,India,730,"Store in an airtight container in a cool, dry place. Keep away from moisture.",Veg,,,,,,,,,,5
